id,name,domain,distance,authentication_provider
131906,AUSC,aus-columbus.instructure.com,,
131847,AUSY,ausychangingculture.instructure.com,,canvas
128265,AVID Center,avid.instructure.com,,
132124,AWS Academy,awsacademy.instructure.com,,
128201,AWS Educate,awseducate.instructure.com,,
138424,AWS GetIT,getit.instructure.com,,
134133,AWS Tech U,awstechu.instructure.com,,
134142,AWS re/Start,awsrestart.instructure.com,,
136064,Aalto EE ,canvas.aaltoee.fi,,
136228,Aalto EE - Staff,canvas.aaltoee.fi,,saml
132926,Aaries Technologies,amra.instructure.com,,
138249,Aaron Cohn Middle School - MCSD Parents,mcsd.instructure.com,,4
129572,Aaron Cohn Middle School - MCSD Teachers/Students,mcsd.instructure.com,,209
140379,AbSPORU,absporu.instructure.com,,
130858,Abbotsleigh,abbotsleigh.instructure.com,,microsoft
130859,Abbotsleigh School for Girls,abbotsleigh.instructure.com,,saml
135043,Aberdeen School District #5 - Parents,asd5.instructure.com,,canvas
133290,Aberdeen School District #5 - Staff & Students,asd5.instructure.com,,google
137094,Abertay University,study.online.abertay.ac.uk,,
128124,Abilene Christian University,acu.instructure.com,,
138139,Abilene Christian University Learning,aculearning.instructure.com,,
127204,Abilene Christian University Online,acuonline.instructure.com,,
141016,Abington Friends School,afs.instructure.com,,canvas
130398,Abington Public Schools,abington.instructure.com,,
132889,Abuse Recovery Ministry Services,arms.instructure.com,,canvas
128797,Academia Virtual,canvas.academiavirtual.cr,,
132885,Academic Partnerships,ap.instructure.com,,canvas
132749,Academic Partnerships LATAM,aplatam.instructure.com,,Canvas
138470,Academikast,academikast.instructure.com,,
140736,Academy Aviation Online,academyaviationonline.instructure.com,,
135984,Academy OnCourse,texasoncourse.instructure.com,,
135985,Academy Texas OnCourse,texasoncourse.instructure.com,,
131544,Academy for Urban Scholars Youngstown,ausychangingculture.instructure.com,,
132808,Academy of Creative Coaching,academyofcreativecoaching.instructure.com,,canvas
130662,Academy of Endoscopy,endoscopy.instructure.com,,canvas
